SampleID,AccX_ms2,AccY_ms2,AccZ_ms2,GyroX_dps,GyroY_dps,GyroZ_dps,MagX,MagY,MagZ
16881,9.63,3.29,-2.72,12.6,7.1,-7.6,17,-187,-1258
16882,9.73,3.30,-3.01,25.9,12.4,-27.2,25,-170,-1256
16883,10.00,3.36,-3.54,42.4,10.2,-46.6,35,-172,-1263
16884,10.53,3.33,-3.38,59.4,5.3,-66.5,45,-175,-1273
16885,10.97,3.20,-2.80,71.7,7.1,-87.2,55,-192,-1251
16886,11.03,2.88,-2.79,75.0,20.4,-107.0,87,-197,-1248
16887,11.17,2.50,-3.02,71.9,36.3,-124.4,123,-195,-1223
16888,11.29,2.30,-3.00,67.7,42.6,-133.5,158,-195,-1236
16889,11.79,2.41,-2.81,67.4,34.2,-133.9,201,-192,-1215
16890,12.14,2.32,-2.94,69.6,13.5,-128.9,240,-190,-1197
16891,11.75,1.92,-3.32,67.1,-2.8,-119.5,287,-215,-1167
16892,10.79,1.23,-3.42,58.1,-5.3,-109.7,323,-220,-1142
16893,9.38,0.65,-2.91,47.0,1.4,-99.8,356,-247,-1140
16894,8.43,0.35,-2.03,40.4,8.0,-92.0,381,-262,-1113
16895,7.58,-0.05,-1.74,38.5,14.2,-90.5,416,-275,-1096
16896,6.63,-0.44,-1.87,39.3,23.8,-89.8,428,-282,-1081
16897,6.33,-0.64,-1.88,43.8,31.9,-88.6,442,-285,-1056
16898,6.38,-0.86,-1.78,50.3,33.6,-91.1,485,-280,-1052
16899,7.12,-0.87,-1.69,57.6,28.3,-98.9,507,-285,-1035
16900,7.58,-1.03,-2.01,60.0,23.7,-104.4,510,-310,-1017
16901,8.33,-1.16,-2.39,55.9,24.7,-101.7,535,-323,-995
16902,8.58,-1.68,-2.83,45.7,31.3,-94.7,563,-336,-975
16903,8.96,-1.99,-2.94,29.9,41.6,-88.6,591,-331,-958
16904,9.41,-1.93,-2.85,14.7,46.6,-76.1,606,-336,-948
16905,10.19,-1.55,-2.70,5.3,38.8,-60.2,638,-323,-931
16906,11.11,-1.19,-2.61,2.6,16.3,-42.7,638,-315,-928
16907,11.70,-1.05,-2.92,1.5,-6.1,-26.3,643,-323,-926
16908,11.99,-1.18,-3.43,-3.8,-8.4,-14.1,655,-341,-906
16909,11.76,-1.26,-3.98,-14.1,14.1,-5.0,652,-351,-918
